state,office,election_date,race_type,description
Texas,Governor,11/3/2026,general,Texas Gubernatorial Election
Texas,U.S. Senate,11/5/2024,general,U.S. Senate Race - Ted Cruz
Florida,U.S. Senate,11/5/2024,general,U.S. Senate Race - Rick Scott
California,U.S. Senate,11/5/2024,general,U.S. Senate Race
Arizona,U.S. Senate,11/5/2024,general,U.S. Senate Race - Kari Lake
Pennsylvania,U.S. Senate,11/5/2024,general,U.S. Senate Race - Dave McCormick
Ohio,U.S. Senate,11/5/2024,general,U.S. Senate Race - Bernie Moreno
Montana,U.S. Senate,11/5/2024,general,U.S. Senate Race - Tim Sheehy
Nevada,U.S. Senate,11/5/2024,general,U.S. Senate Race - Sam Brown
Wisconsin,U.S. Senate,11/5/2024,general,U.S. Senate Race - Eric Hovde
Michigan,U.S. Senate,11/5/2024,general,U.S. Senate Race - Mike Rogers
West Virginia,U.S. Senate,11/5/2024,general,U.S. Senate Race - Jim Justice
Maryland,U.S. Senate,11/5/2024,general,U.S. Senate Race - Larry Hogan
